pdl_id,cluster
1704875583,3
6674572658,3
9993623468,0
10607320546,5
11239534806,6
14953875748,0
16277393756,2
19987809609,8
21164370115,2
22788077558,2
29372392582,3
30130295457,8
31187055574,6
31681490440,5
31942215998,8
36018865580,1
39517918854,9
42921722244,5
45254376151,3
46801823032,0
47000903308,3
48927645575,9
52261410280,0
54458310448,0
55364907425,8
57951029288,9
59063557811,8
63731311654,7
66912773345,5
70468969762,3
74780699711,9
75248356572,0
77770024112,6
78370785431,5
78746256867,7
82111636043,5
82546700349,1
82748713708,5
83170364647,9
83653631972,8
85744937287,8
87845969811,8
91723788182,5
91900094744,0
95811811353,0
97149691915,0
97179492640,8
97609846811,0
100542420872,9
101600564162,9
101738209253,0
102535568783,3
103285643131,0
104075647879,2
106047725481,6
110795159055,0
113055822962,0
114101258104,0
116071129180,3
117528142191,7
119371042139,9
119798639658,8
121193698086,8
122036365448,3
124670810391,0
131505931144,0
132158257663,8
132170026726,5
136985465680,3
139703386329,9
143987990888,9
144766234091,0
149311246421,0
150629884370,9
151813025565,8
152750931257,5
154047266662,9
161904472264,0
170517573134,6
170877224237,7
172772856068,5
173324578397,9
175475184338,9
177594029577,8
178558518232,9
180458287234,9
181519626651,8
181534936703,1
185776285910,5
192259607253,9
192632810845,9
198273847272,0
199087875388,0
204732711941,5
206736356689,3
206803924442,9
206916721916,0
207366513418,9
210476483019,3
210536163882,0
213839656729,1
214232158072,8
215897992736,5
218855685418,9
225779963149,8
226823422818,5
228717553522,8
228804090907,8
229132370072,3
233546818593,7
234983477656,6
237551162989,3
237903600571,9
239838262265,3
243204890474,0
245599652122,3
245844131190,6
247270405515,0
251564398795,5
252435761951,0
257759555173,5
258193317291,8
261327986536,0
264209265655,9
265878946516,7
267204000760,3
268092752432,0
268424487419,0
269909755081,5
270398488961,7
270608097869,8
273380085085,5
273392248645,0
276947808397,2
277140144361,0
279909383494,3
281544600039,9
282084662316,2
283149930567,5
293928641167,9
296204507771,8
298144869436,9
300138891975,3
301496713818,9
305539327970,0
306538840704,9
310552464401,8
312793831358,7
314712006945,1
317178441494,6
318189040241,0
318315634437,0
318504977874,9
323483566337,0
325677659580,1
326483884442,2
328777673639,9
330748533778,3
332054031196,3
335501279223,5
336770480084,0
339230169972,9
341383495960,9
345729437956,3
348813764730,8
355681005154,5
356658965808,8
357364882741,0
358104386259,9
364130371528,0
370551363246,0
374414805337,0
374981009514,5
376615522224,8
380122412541,5
382987677293,9
387341643327,2
387497691601,5
387623659346,8
389049510861,3
389415431552,5
390364612633,8
392040358493,7
392135992002,9
395209611171,0
401825622584,8
402732521602,3
403823963742,3
406748544686,5
407542367671,9
408934522382,9
413439608173,0
414075764853,9
419223302917,0
419659356959,0
424388231333,3
424879169408,3
425577291923,6
427677700464,8
429923107993,2
434085807778,5
438889823686,5
439804089430,8
440547412552,0
441022273291,3
444498141205,0
445107976517,9
445972407709,0
446950152221,5
450696627196,5
450875280434,0
451115621158,0
454215309767,9
456068761143,3
456438082734,0
456848294741,0
460219703544,3
461567416208,3
461845599527,9
472524819242,0
472890523904,8
473623072737,0
474280641581,0
474877816928,0
476866365062,5
478263149367,6
478641134427,8
482711484576,5
485938576709,5
488284777027,5
489966644023,3
492043935205,7
494622515995,8
496816889201,0
497991941156,5
498148724535,3
500229314484,5
502355731300,3
502492346691,9
502666379920,3
505685300811,3
505727036961,8
506085899132,3
506217938614,3
506516425398,5
507151334062,8
507301153924,8
508705675438,5
509803096929,9
512115561842,2
515633380601,0
519523043142,8
521688376124,9
522699594880,8
523126220371,2
527513524145,9
527841270938,8
528473190220,0
530326467339,8
530839250387,5
532156016483,9
535147169479,8
537794905641,3
543083371030,6
550439711039,3
550699097107,0
550824816499,5
554556763469,9
554934799498,8
556873722359,5
557510439545,5
562644483220,5
565254289340,5
567178937487,0
569476192672,2
570165055314,3
572527507614,9
574397327438,8
576318259050,6
577295037933,8
581115248494,3
581345917865,5
582816965126,5
587216697333,0
589060066138,1
590496609767,3
593324656618,0
593948855549,4
597355425293,5
600628425457,0
601151545360,0
602720394896,6
606977580459,9
607944129448,8
608939374827,3
620187022059,8
621743044608,5
621818987245,0
623330210743,3
623992423880,5
624179141101,0
624234612968,5
625118767797,5
630132392663,6
631764704701,0
632662091867,9
635159010835,3
635315346916,3
636003157709,2
638319105726,5
640926753755,4
642017876916,5
642890962601,0
649387263878,8
649759679802,9
650177016310,0
650651954021,6
652263958710,5
653813339670,5
655099517340,5
655455561190,5
659061858032,0
660232361383,3
665391033670,7
665652027296,0
666207655158,9
669986972336,8
673399951512,8
677711541818,3
678827882270,0
