pdl_id,date,daily_kwh,is_weekend,month,th_pdl,is_active_day,season
1704875583,2023-11-01,13.57155,0,11,5.88195,1,1
1704875583,2023-11-02,15.84695,0,11,5.88195,1,1
1704875583,2023-11-03,14.0217,0,11,5.88195,1,1
1704875583,2023-11-04,16.563299999999998,1,11,5.88195,1,1
1704875583,2023-11-05,14.4275,1,11,5.88195,1,1
1704875583,2023-11-06,14.76095,0,11,5.88195,1,1
1704875583,2023-11-07,14.286,0,11,5.88195,1,1
1704875583,2023-11-08,14.8604,0,11,5.88195,1,1
1704875583,2023-11-09,14.45785,0,11,5.88195,1,1
1704875583,2023-11-10,16.4455,0,11,5.88195,1,1
1704875583,2023-11-11,22.018349999999998,1,11,5.88195,1,1
1704875583,2023-11-12,23.6957,1,11,5.88195,1,1
1704875583,2023-11-13,17.4129,0,11,5.88195,1,1
1704875583,2023-11-14,15.24215,0,11,5.88195,1,1
1704875583,2023-11-15,18.98775,0,11,5.88195,1,1
1704875583,2023-11-16,15.2492,0,11,5.88195,1,1
1704875583,2023-11-17,15.3543,0,11,5.88195,1,1
1704875583,2023-11-18,17.01165,1,11,5.88195,1,1
1704875583,2023-11-19,15.99775,1,11,5.88195,1,1
1704875583,2023-11-20,15.65255,0,11,5.88195,1,1
1704875583,2023-11-21,17.8418,0,11,5.88195,1,1
1704875583,2023-11-22,20.71905,0,11,5.88195,1,1
1704875583,2023-11-23,19.5123,0,11,5.88195,1,1
1704875583,2023-11-24,22.1153,0,11,5.88195,1,1
1704875583,2023-11-25,25.1496,1,11,5.88195,1,1
1704875583,2023-11-26,28.9573,1,11,5.88195,1,1
1704875583,2023-11-27,18.47995,0,11,5.88195,1,1
1704875583,2023-11-28,17.02675,0,11,5.88195,1,1
1704875583,2023-11-29,20.41455,0,11,5.88195,1,1
1704875583,2023-11-30,17.4665,0,11,5.88195,1,1
1704875583,2023-12-01,19.10555,0,12,5.88195,1,3
1704875583,2023-12-02,25.402,1,12,5.88195,1,3
1704875583,2023-12-03,21.3236,1,12,5.88195,1,3
1704875583,2023-12-04,22.721,0,12,5.88195,1,3
1704875583,2023-12-05,19.5244,0,12,5.88195,1,3
1704875583,2023-12-06,23.2069,0,12,5.88195,1,3
1704875583,2023-12-07,24.65165,0,12,5.88195,1,3
1704875583,2023-12-08,23.25175,0,12,5.88195,1,3
1704875583,2023-12-09,26.64085,1,12,5.88195,1,3
1704875583,2023-12-10,23.48995,1,12,5.88195,1,3
1704875583,2023-12-11,23.42115,0,12,5.88195,1,3
1704875583,2023-12-12,31.5009,0,12,5.88195,1,3
1704875583,2023-12-13,32.07165,0,12,5.88195,1,3
1704875583,2023-12-14,32.944,0,12,5.88195,1,3
1704875583,2023-12-15,35.79365,0,12,5.88195,1,3
1704875583,2023-12-16,36.48015,1,12,5.88195,1,3
1704875583,2023-12-17,45.8574,1,12,5.88195,1,3
1704875583,2023-12-18,36.21275,0,12,5.88195,1,3
1704875583,2023-12-19,28.88545,0,12,5.88195,1,3
1704875583,2023-12-20,38.24535,0,12,5.88195,1,3
1704875583,2023-12-21,34.097,0,12,5.88195,1,3
1704875583,2023-12-22,35.28345,0,12,5.88195,1,3
1704875583,2023-12-23,33.4816,1,12,5.88195,1,3
1704875583,2023-12-24,35.50295,1,12,5.88195,1,3
1704875583,2023-12-25,32.39025,0,12,5.88195,1,3
